O*NET-SOC Code,Element Name,Scale ID,Data Value,Recommend Suppress,Not Relevant
11-1011.00,Reading Comprehension,IM,4.12,N,
11-1011.00,Reading Comprehension,LV,4.62,N,N
11-1011.00,Active Listening,IM,4,N,
11-1011.00,Active Listening,LV,4.75,N,N
11-1011.00,Writing,IM,4.12,N,
11-1011.00,Writing,LV,4.38,N,N
11-1011.00,Speaking,IM,4.25,N,
11-1011.00,Speaking,LV,4.75,N,N
11-1011.00,Mathematics,IM,3.25,N,
11-1011.00,Mathematics,LV,3.5,N,N
11-1011.00,Science,IM,1.62,N,
11-1011.00,Science,LV,0.75,N,N
11-1011.00,Critical Thinking,IM,4.38,N,
11-1011.00,Critical Thinking,LV,4.75,N,N
11-1011.00,Active Learning,IM,3.75,N,
11-1011.00,Active Learning,LV,4.5,N,N
11-1011.00,Learning Strategies,IM,3.12,N,
11-1011.00,Learning Strategies,LV,3.75,N,N
11-1011.00,Monitoring,IM,4,N,
11-1011.00,Monitoring,LV,5.25,N,N
11-1011.00,Social Perceptiveness,IM,4.12,N,
11-1011.00,Social Perceptiveness,LV,4.25,N,N
11-1011.00,Coordination,IM,4.25,N,
11-1011.00,Coordination,LV,4.88,N,N
11-1011.00,Persuasion,IM,4,N,
11-1011.00,Persuasion,LV,4.75,N,N
11-1011.00,Negotiation,IM,4.12,N,
11-1011.00,Negotiation,LV,4.75,N,N
11-1011.00,Instructing,IM,3.38,N,
11-1011.00,Instructing,LV,3.88,N,N
11-1011.00,Service Orientation,IM,3.12,N,
11-1011.00,Service Orientation,LV,3.38,N,N
11-1011.00,Complex Problem Solving,IM,4.38,N,
11-1011.00,Complex Problem Solving,LV,4.88,N,N
11-1011.00,Operations Analysis,IM,3.12,N,
11-1011.00,Operations Analysis,LV,3.88,N,N
11-1011.00,Technology Design,IM,1.75,N,
11-1011.00,Technology Design,LV,0.88,N,N
11-1011.00,Equipment Selection,IM,1.12,N,
11-1011.00,Equipment Selection,LV,0.25,N,Y
11-1011.00,Installation,IM,1,N,
11-1011.00,Installation,LV,0,N,Y
11-1011.00,Programming,IM,1.75,N,
11-1011.00,Programming,LV,1,N,N
11-1011.00,Operations Monitoring,IM,2,N,
11-1011.00,Operations Monitoring,LV,1.5,N,N
11-1011.00,Operation and Control,IM,1.88,N,
11-1011.00,Operation and Control,LV,1.38,N,N
11-1011.00,Equipment Maintenance,IM,1,N,
11-1011.00,Equipment Maintenance,LV,0,N,Y
11-1011.00,Troubleshooting,IM,1.5,N,
11-1011.00,Troubleshooting,LV,0.5,N,N
11-1011.00,Repairing,IM,1,N,
11-1011.00,Repairing,LV,0,N,Y
11-1011.00,Quality Control Analysis,IM,1.88,N,
11-1011.00,Quality Control Analysis,LV,1.12,N,N
11-1011.00,Judgment and Decision Making,IM,4.75,N,
11-1011.00,Judgment and Decision Making,LV,5.38,N,N
11-1011.00,Systems Analysis,IM,4.12,N,
11-1011.00,Systems Analysis,LV,5.12,N,N
11-1011.00,Systems Evaluation,IM,4.25,N,
11-1011.00,Systems Evaluation,LV,5,N,N
11-1011.00,Time Management,IM,4,N,
11-1011.00,Time Management,LV,4.75,N,N
11-1011.00,Management of Financial Resources,IM,4.25,N,
11-1011.00,Management of Financial Resources,LV,5.25,N,N
11-1011.00,Management of Material Resources,IM,4,N,
11-1011.00,Management of Material Resources,LV,4.75,N,N
11-1011.00,Management of Personnel Resources,IM,4.25,N,
11-1011.00,Management of Personnel Resources,LV,5.25,N,N
11-1011.03,Reading Comprehension,IM,4,N,
11-1011.03,Reading Comprehension,LV,4.25,N,N
11-1011.03,Active Listening,IM,4,N,
11-1011.03,Active Listening,LV,4,N,N
11-1011.03,Writing,IM,4.12,N,
11-1011.03,Writing,LV,4.25,N,N
11-1011.03,Speaking,IM,4,N,
11-1011.03,Speaking,LV,4.12,N,N
11-1011.03,Mathematics,IM,2.88,N,
11-1011.03,Mathematics,LV,3.12,N,N
11-1011.03,Science,IM,2.12,N,
11-1011.03,Science,LV,1.88,N,N
11-1011.03,Critical Thinking,IM,4.12,N,
11-1011.03,Critical Thinking,LV,4.12,N,N
11-1011.03,Active Learning,IM,3.75,N,
11-1011.03,Active Learning,LV,3.88,N,N
11-1011.03,Learning Strategies,IM,3.38,N,
11-1011.03,Learning Strategies,LV,3.75,N,N
11-1011.03,Monitoring,IM,3.75,N,
11-1011.03,Monitoring,LV,4,N,N
11-1011.03,Social Perceptiveness,IM,3.88,N,
11-1011.03,Social Perceptiveness,LV,3.88,N,N
11-1011.03,Coordination,IM,3.75,N,
11-1011.03,Coordination,LV,3.88,N,N
11-1011.03,Persuasion,IM,3.88,N,
11-1011.03,Persuasion,LV,4,N,N
11-1011.03,Negotiation,IM,3.12,N,
11-1011.03,Negotiation,LV,3.25,N,N
11-1011.03,Instructing,IM,3.25,N,
11-1011.03,Instructing,LV,3.38,N,N
11-1011.03,Service Orientation,IM,3.25,N,
11-1011.03,Service Orientation,LV,3.25,N,N
11-1011.03,Complex Problem Solving,IM,4,N,
11-1011.03,Complex Problem Solving,LV,4.12,N,N
11-1011.03,Operations Analysis,IM,2.88,N,
11-1011.03,Operations Analysis,LV,3.12,N,N
11-1011.03,Technology Design,IM,1.88,N,
11-1011.03,Technology Design,LV,1.12,N,N
11-1011.03,Equipment Selection,IM,1.12,N,
11-1011.03,Equipment Selection,LV,0.25,N,Y
11-1011.03,Installation,IM,1,N,
11-1011.03,Installation,LV,0,N,Y
11-1011.03,Programming,IM,1.88,N,
11-1011.03,Programming,LV,1.12,N,N
11-1011.03,Operations Monitoring,IM,2,N,
11-1011.03,Operations Monitoring,LV,1.88,N,N
11-1011.03,Operation and Control,IM,2,N,
11-1011.03,Operation and Control,LV,1,N,N
11-1011.03,Equipment Maintenance,IM,1,N,
11-1011.03,Equipment Maintenance,LV,0,N,Y
11-1011.03,Troubleshooting,IM,1,N,
11-1011.03,Troubleshooting,LV,0,N,Y
11-1011.03,Repairing,IM,1,N,
11-1011.03,Repairing,LV,0,N,Y
11-1011.03,Quality Control Analysis,IM,1.88,N,
11-1011.03,Quality Control Analysis,LV,1.5,N,N
11-1011.03,Judgment and Decision Making,IM,3.88,N,
11-1011.03,Judgment and Decision Making,LV,4,N,N
11-1011.03,Systems Analysis,IM,3.88,N,
11-1011.03,Systems Analysis,LV,4,N,N
11-1011.03,Systems Evaluation,IM,3.88,N,
11-1011.03,Systems Evaluation,LV,4,N,N
11-1011.03,Time Management,IM,3.38,N,
11-1011.03,Time Management,LV,3.88,N,N
11-1011.03,Management of Financial Resources,IM,2.88,N,
11-1011.03,Management of Financial Resources,LV,3.12,N,N
11-1011.03,Management of Material Resources,IM,2.25,N,
11-1011.03,Management of Material Resources,LV,2.62,N,N
11-1011.03,Management of Personnel Resources,IM,3.12,N,
11-1011.03,Management of Personnel Resources,LV,4,N,N
11-1021.00,Reading Comprehension,IM,4,N,
11-1021.00,Reading Comprehension,LV,4,N,N
11-1021.00,Active Listening,IM,4,N,
11-1021.00,Active Listening,LV,4.12,N,N
11-1021.00,Writing,IM,3.5,N,
11-1021.00,Writing,LV,3.88,N,N
11-1021.00,Speaking,IM,4,N,
11-1021.00,Speaking,LV,4.12,N,N
11-1021.00,Mathematics,IM,2.62,N,
11-1021.00,Mathematics,LV,2.75,N,N
11-1021.00,Science,IM,1.5,N,
11-1021.00,Science,LV,0.62,N,N
11-1021.00,Critical Thinking,IM,3.88,N,
11-1021.00,Critical Thinking,LV,3.88,N,N
11-1021.00,Active Learning,IM,3.62,N,
11-1021.00,Active Learning,LV,3.75,N,N
11-1021.00,Learning Strategies,IM,3,N,
11-1021.00,Learning Strategies,LV,3.12,N,N
11-1021.00,Monitoring,IM,4,N,
11-1021.00,Monitoring,LV,4.12,N,N
11-1021.00,Social Perceptiveness,IM,3.75,N,
11-1021.00,Social Perceptiveness,LV,4,N,N
11-1021.00,Coordination,IM,3.88,N,
11-1021.00,Coordination,LV,4,N,N
11-1021.00,Persuasion,IM,3.62,N,
11-1021.00,Persuasion,LV,3.75,N,N
11-1021.00,Negotiation,IM,3.5,N,
11-1021.00,Negotiation,LV,3.62,N,N
11-1021.00,Instructing,IM,3,N,
