SOC2020,ONET
1111,11-1011.00
1111,11-1021.00
1112,11-1011.00
1121,11-3051.00
1121,11-9041.00
1122,11-9021.00
1122,11-9041.00
1123,11-3051.02
1123,11-3051.03
1123,11-3051.04
1123,11-3051.06
1123,11-9199.09
1131,11-3031.00
1131,11-3031.01
1132,11-2011.00
1132,11-2021.00
1132,11-2022.00
1132,11-2033.00
1133,11-2011.00
1134,11-3061.00
1135,11-1021.00
1136,11-3111.00
1136,11-3121.00
1136,11-3131.00
1137,11-3021.00
1139,11-1011.03
1139,11-3012.00
1139,11-9121.00
1140,11-3071.00
1140,11-3071.04
1150,11-1021.00
1150,41-1011.00
1161,11-1021.00
1161,11-3071.00
1161,53-2011.00
1161,53-5021.00
1162,33-1012.00
1163,33-1011.00
1163,33-1021.00
1171,11-9111.00
1172,11-9151.00
1211,11-9013.00
1211,45-1011.00
1212,45-1011.00
1221,11-9081.00
1222,11-9051.00
1223,11-9051.00
1224,11-9072.00
1224,11-9179.01
1225,41-3041.00
1231,11-9111.00
1232,11-9151.00
1233,11-9031.00
1241,11-9131.00
1241,53-1043.00
1242,11-3071.00
1243,11-3071.00
1251,11-3013.00
1251,11-9141.00
1252,49-1011.00
1253,11-9179.02
1254,11-3013.00
1254,11-9199.02
1254,11-9199.11
1255,11-1021.00
1256,11-9071.00
1256,39-1013.00
1257,11-9072.00
1257,41-1011.00
1258,11-3012.00
1259,11-3013.01
1259,11-9171.00
2111,17-2041.00
2111,19-2031.00
2112,19-1011.00
2112,19-1013.00
2112,19-1022.00
2112,19-1023.00
2112,19-1029.00
2112,19-1029.02
2112,19-1029.04
2112,29-1222.00
2113,17-2031.00
2113,19-1021.00
2113,19-1029.03
2113,19-1042.00
2113,29-2011.00
2113,29-2011.01
2113,29-2011.02
2113,29-2011.04
2114,19-2011.00
2114,19-2012.00
2114,19-2021.00
2114,19-2042.00
2114,19-2043.00
2114,19-2099.00
2114,19-4044.00
2115,15-1299.02
2115,19-1041.00
2115,19-2099.01
2115,19-3022.00
2115,19-3041.00
2115,19-3091.00
2115,19-3092.00
2115,19-3093.00
2115,19-3094.00
2115,19-3099.00
2119,15-1299.02
2119,17-2031.00
2119,17-2041.00
2119,19-1011.00
2119,19-1013.00
2119,19-1021.00
2119,19-1022.00
2119,19-1023.00
2119,19-1029.02
2119,19-1029.03
2119,19-1029.04
2119,19-1041.00
2119,19-1042.00
2119,19-2011.00
2119,19-2012.00
2119,19-2021.00
2119,19-2031.00
2119,19-2042.00
2119,19-2043.00
2119,19-2099.01
2119,19-3022.00
2119,19-3041.00
2119,19-3091.00
2119,19-3092.00
2119,19-3093.00
2119,19-3094.00
2119,19-4044.00
2119,29-1128.00
2119,29-1222.00
2119,29-2011.00
2119,29-2011.01
2119,29-2011.02
2119,29-2011.04
2121,17-2051.00
2121,17-2051.02
2121,17-2151.00
2121,17-2171.00
2122,17-2121.00
2122,17-2141.00
2122,17-2141.02
2123,17-2071.00
2123,17-2199.07
2124,15-1241.01
