code,green,orange,blue,red,label
111,-0.14143568355556485,-0.40073820946286703,0.10404948117287083,0.3689187588972308,Chief Executives and Senior Officials
113,-0.06885669863695482,-0.20904535417365197,0.11832352150381037,0.17253316449749706,Functional Managers and Directors
114,0.05656606553264862,0.02470718922063143,0.016474506607483504,-0.3362970766754987,"Directors in Logistics, Warehousing and Transport"
116,0.19747549666603464,-0.18493562522966708,-0.02989045687014675,-0.3927333499153934,Senior Officers in Protective Services
121,0.2358986338789538,-0.1760555407800552,-0.08167012407400487,-0.6362009253794813,Managers and Proprietors in Agriculture Related Services
211,-0.008870158777611565,-0.1338570119528491,0.11029925002024285,-0.003760873656894799,Natural and Social Science Professionals
214,-0.07519632291680232,-0.18312648396701148,0.0744962865979556,0.2301194002399583,Web and Multimedia Design Professionals
215,0.08038594420441274,-0.15889125076067284,0.044408511642924725,-0.05055526739059968,Conservation and Environment Professionals
216,-0.11311802823522983,-0.2584495563282651,0.14240496415648382,0.22333664626526206,Research and Development (R&D) and Other Research Professionals
224,0.16030330209154178,-0.18092035541552592,0.006532368368295585,-0.2627865272502702,Veterinarians
241,-0.1347393952407035,-0.23323055193738462,0.07763409774608643,0.3201386563029222,Legal Professionals
242,-0.09784666096531935,-0.15204833750971156,0.10569214474219578,0.18398556987030606,Finance Professionals
243,-0.13797268582493652,-0.2677144972006534,0.10359569318720933,0.3102006239860837,"Business, Research and Administrative Professionals"
247,-0.035165331424799495,-0.2221859755464496,0.05900024253622505,0.2292316299681076,Librarians and Related Professionals
249,-0.20183928118495828,-0.42520551974819615,0.084243149248986,0.4359350917003506,Media Professionals
312,-0.0583182050787802,-0.1339764611585658,0.026401402108525054,0.23363921705323262,"CAD, Drawing and Architectural Technicians"
324,0.13924488128811738,-0.032780126826004743,-0.02427570884869515,-0.4923942185656627,Veterinary nurses
331,0.11073771631906769,-0.0049891648027115335,-0.02723364237345538,-0.36766594762739363,Protective Service Occupations
341,-0.10419844750904018,-0.3126933069330578,0.06171796979029118,0.35032794741034395,"Artistic, Literary and Media Occupations"
342,-0.08081223452982635,-0.23263319653232706,0.04486299771933613,0.30653804833654735,Design Occupations
351,0.14444325129538702,-0.2813796459159295,0.09903112376817444,-0.34104842073449637,Transport Associate Professionals
353,-0.06965347680190079,-0.1424181375869644,0.10641255191219931,0.13335893952275288,Finance Associate Professionals
411,0.0790509383590949,0.018794272720276443,-0.045500709975740045,-0.20705177485209442,Administrative Occupations: Government and Related Organisations
511,0.21627259399336388,-0.154748125219711,-0.07050582619323512,-0.5110887174653278,Agricultural and Related Trades
521,0.07774924983228552,0.2180101489506855,-0.2619835796538343,-0.867300092900808,"Metal Forming, Welding and Related Trades"
522,0.06604016382223842,0.1640459947386237,-0.14266902355791072,-0.6058132977247165,"Metal Machining, Fitting and Instrument Making Trades"
523,0.1014719277271774,0.07711692227831483,-0.0649882812421703,-0.6113495906640178,Vehicle Trades
525,0.08593115209608981,0.11221765442349048,-0.09488936944507363,-0.5681880720198155,"Skilled Metal, Electrical and Electronic Trades Supervisors"
541,-0.03140013354665056,0.11983883352665001,-0.06605642287063622,-0.08344876972281903,Textiles and Garments Trades
542,0.039512414301785564,0.04983898001009274,-0.006188621431007589,-0.25893134674426144,Printing Trades
612,0.13435834041107983,-0.0660043676610983,-0.00579347837332053,-0.3844970129549699,Animal Care and Control Services
811,0.016497296489787167,0.2736289693419369,-0.29539013404120806,-0.8056466504336753,Process Operatives
812,0.01359010536511461,0.256136230478213,-0.24098314931159331,-0.7351130754605685,Metal Working Machine Operatives
813,0.07627209227759486,0.18891938354496482,-0.2035561767698796,-0.7007764871037003,Plant and Machine Operatives
814,0.009115253361959366,0.2340188104239099,-0.17379967228125479,-0.7131791263982986,Assemblers and Routine Operatives
816,0.019915004495595582,0.23910686104260656,-0.20557374490845448,-0.7308265876504296,"Production, Factory and Assembly Supervisors"
822,0.03052765959541743,0.21788837841967978,-0.18482490321620584,-0.6480410125401156,Mobile Machine Drivers and Operatives
823,0.03193774938387783,-0.020212219445453004,0.060724811913818566,-0.22389430479614816,Other Drivers and Transport Operatives
911,0.2616248437578833,-0.08603471555631031,-0.22446004562112795,-0.8628185067274224,Elementary Agricultural Occupations
913,-0.02384278470545469,0.2863983141879098,-0.24893099145873082,-0.8068027479497856,Elementary Process Plant Occupations
925,-0.052557481086882095,0.256758933085423,-0.14139270467753812,-0.6231023448471088,Elementary Storage Occupations
