mnemonic,none_2,none_3,none_4,none_5,none_6
E06000001,0,0,1,1,1
E06000002,0,2,1,1,1
E06000003,0,0,1,1,1
E06000004,0,0,1,1,1
E06000005,0,2,1,1,4
E06000047,0,0,2,1,1
E06000057,0,0,2,2,2
E08000021,0,0,0,1,0
E08000022,0,0,0,1,0
E08000023,0,0,1,1,1
E08000024,0,2,1,1,1
E08000037,0,0,0,1,1
E06000006,0,2,1,3,4
E06000007,0,2,1,3,4
E06000008,0,2,1,1,1
E06000009,0,0,2,1,1
E06000049,1,0,0,0,0
E06000050,0,0,0,0,0
E06000063,0,0,2,2,2
E06000064,0,0,2,2,2
E07000117,0,2,1,3,4
E07000118,0,0,0,0,0
E07000119,0,0,0,0,0
E07000120,0,2,1,1,1
E07000121,0,0,2,2,2
E07000122,0,2,1,1,1
E07000123,0,2,1,1,1
E07000124,0,0,2,2,2
E07000125,0,0,0,1,1
E07000126,0,0,0,1,1
E07000127,0,0,1,1,1
E07000128,0,0,2,2,2
E08000001,0,2,1,1,1
E08000002,0,0,0,0,0
E08000003,0,0,0,1,0
E08000004,0,2,1,3,4
E08000005,0,2,1,3,4
E08000006,0,2,0,1,0
E08000007,1,1,0,0,0
E08000008,0,0,1,1,1
E08000009,1,1,3,0,3
E08000010,0,2,1,1,1
E08000011,0,2,1,1,1
E08000012,0,2,1,1,1
E08000013,0,2,1,3,4
E08000014,0,0,0,1,1
E08000015,0,0,0,1,1
E06000010,0,2,1,1,1
E06000011,0,0,2,2,2
E06000012,0,2,1,1,1
E06000013,0,2,1,1,1
E06000014,1,1,0,0,0
E06000065,0,0,2,2,2
E08000016,0,2,1,3,4
E08000017,0,2,1,3,4
E08000018,0,2,1,1,1
E08000019,0,0,0,1,0
E08000032,0,2,1,1,1
E08000033,0,0,0,1,0
E08000034,0,0,1,1,1
E08000035,0,0,0,0,0
E08000036,0,2,1,3,4
E06000015,0,2,1,3,4
E06000016,0,2,1,3,4
E06000017,0,0,2,2,2
E06000018,0,2,1,3,4
E06000061,0,2,1,3,4
E06000062,0,2,1,3,4
E07000032,0,0,1,1,1
E07000033,0,2,1,3,4
E07000034,0,2,1,1,1
E07000035,0,0,2,2,2
E07000036,0,2,1,1,1
E07000037,0,0,2,2,2
E07000038,0,0,2,1,1
E07000039,0,0,1,1,1
E07000129,0,0,0,1,0
E07000130,0,0,0,1,0
E07000131,1,0,0,0,0
E07000132,0,2,1,1,4
E07000133,0,0,2,2,2
E07000134,0,2,1,1,1
E07000135,0,0,0,1,0
E07000136,0,2,1,1,1
E07000137,0,0,2,2,2
E07000138,0,2,1,1,1
E07000139,0,0,2,2,2
E07000140,0,2,1,1,1
E07000141,0,0,0,1,0
E07000142,0,0,2,2,2
E07000170,0,2,1,3,4
E07000171,0,2,1,3,4
E07000172,0,0,0,1,0
E07000173,0,0,0,1,0
E07000174,0,2,1,3,4
E07000175,0,2,1,1,1
E07000176,1,1,3,0,3
E06000019,0,0,2,2,2
E06000020,0,2,1,1,1
E06000021,0,2,1,3,4
E06000051,0,0,2,2,2
E07000192,0,2,1,1,1
E07000193,0,2,1,3,4
E07000194,0,0,0,0,0
E07000195,0,2,1,3,4
E07000196,0,0,0,0,0
E07000197,0,0,0,1,0
E07000198,0,0,2,2,2
E07000199,0,2,1,3,4
E07000218,0,2,1,3,4
E07000219,0,2,1,3,4
E07000220,0,2,1,3,4
